> NZ_CP027472.1
  NZ_CP027583.1 16481 2110457 2126
  NZ_CP027583.1 16482 3658298 1751
  NZ_CP027583.1 4315 1387680 1308
  NZ_CP027583.1 71667 5235232 1262
  NZ_CP027583.1 71667 2888275 1262
  NZ_CP027583.1 4315 4918490 1238
  NZ_CP027583.1 58926 3673035 1209
  NZ_CP027583.1 61167 3830462 1114
  NZ_CP027583.1 71925 2053569 1004
  NZ_CP027583.1 57332 2090990 762
  NZ_CP027583.1 58146 2091817 683
  NZ_CP027583.1 25119 2888262 682
  NZ_CP027583.1 25119 5235219 680
  NZ_CP027583.1 60733 3829926 440
  NZ_CP027583.1 75815 5235239 437
  NZ_CP027583.1 75815 2888282 437
  NZ_CP027583.1 25390 2053569 411
  NZ_CP027583.1 3564 2098411 325
  NZ_CP027583.1 76295 5235726 295
  NZ_CP027583.1 76295 2888769 295
  NZ_CP027583.1 11300 2098410 274
  NZ_CP027583.1 6033 1332877 274
  NZ_CP027583.1 69550 596901 270
  NZ_CP027583.1 72692 2043417 237
  NZ_CP027583.1 76076 2053580 232
  NZ_CP027583.1 18382 3660045 224
  NZ_CP027583.1 37659 1305479 210
  NZ_CP027583.1 37659 996802 210
  NZ_CP027583.1 11092 3828365 208
  NZ_CP027583.1 11092 594881 207
  NZ_CP027583.1 16684 3723901 193
  NZ_CP027583.1 16684 464373 193
  NZ_CP027583.1 66846 2076425 187
  NZ_CP027583.1 11393 2098503 180
  NZ_CP027583.1 76076 5235501 176
  NZ_CP027583.1 76076 2888544 176
  NZ_CP027583.1 18654 3083771 171
  NZ_CP027583.1 17552 3724768 155
  NZ_CP027583.1 17552 465240 155
  NZ_CP027583.1 56950 5607911 146
  NZ_CP027583.1 56950 752667 146
  NZ_CP027583.1 57103 5608065 143
  NZ_CP027583.1 57103 752821 143
  NZ_CP027583.1 4171 2420299 139
  NZ_CP027583.1 76117 5235542 134
  NZ_CP027583.1 76117 2888585 134
  NZ_CP027583.1 76418 2888893 131
  NZ_CP027583.1 76426 2053937 123
  NZ_CP027583.1 20716 4400139 122
  NZ_CP027583.1 66146 2112469 108
  NZ_CP027583.1 66146 3660162 107
  NZ_CP027583.1 14600 3658244 58
