> NZ_CP027472.1
  NZ_CP027583.1 16481 2110457 2123
  NZ_CP027583.1 16481 3658297 1753
  NZ_CP027583.1 72026 2888634 858
  NZ_CP027583.1 61167 3830462 811
  NZ_CP027583.1 4330 4918504 648
  NZ_CP027583.1 4330 1387694 648
  NZ_CP027583.1 59554 3673660 578
  NZ_CP027583.1 71895 5235460 561
  NZ_CP027583.1 58909 3673018 509
  NZ_CP027583.1 25360 5235460 439
  NZ_CP027583.1 60734 3829927 438
  NZ_CP027583.1 72509 5236074 375
  NZ_CP027583.1 5031 4919205 340
  NZ_CP027583.1 5031 1388395 340
  NZ_CP027583.1 3564 2098411 325
  NZ_CP027583.1 76013 5235438 289
  NZ_CP027583.1 11300 2098410 274
  NZ_CP027583.1 6033 1332877 273
  NZ_CP027583.1 69550 596901 270
  NZ_CP027583.1 71910 2053554 258
  NZ_CP027583.1 25375 2053554 258
  NZ_CP027583.1 25491 2888634 243
  NZ_CP027583.1 60376 2043176 240
  NZ_CP027583.1 76013 2888481 227
  NZ_CP027583.1 72660 2054304 224
  NZ_CP027583.1 18382 3660045 222
  NZ_CP027583.1 11092 594881 205
  NZ_CP027583.1 72293 2053937 199
  NZ_CP027583.1 72691 2043416 193
  NZ_CP027583.1 58641 2092313 190
  NZ_CP027583.1 58273 2091944 190
  NZ_CP027583.1 17540 3724756 165
  NZ_CP027583.1 17540 465228 165
  NZ_CP027583.1 57332 2090990 162
  NZ_CP027583.1 18695 3083812 144
  NZ_CP027583.1 76160 2053664 142
  NZ_CP027583.1 4175 2420303 141
  NZ_CP027583.1 66922 2076501 111
  NZ_CP027583.1 11095 3828368 109
  NZ_CP027583.1 66142 3660158 109
  NZ_CP027583.1 66142 2112465 109
  NZ_CP027583.1 11207 3828480 90
  NZ_CP027583.1 62089 3831388 81
  NZ_CP027583.1 76407 5235839 79
  NZ_CP027583.1 72255 5235820 79
  NZ_CP027583.1 72158 5235723 76
  NZ_CP027583.1 57102 5608064 68
  NZ_CP027583.1 57102 752820 68
  NZ_CP027583.1 71956 2888564 61
  NZ_CP027583.1 25421 2888564 61
  NZ_CP027583.1 14599 3658243 60
  NZ_CP027583.1 71895 2888503 60
  NZ_CP027583.1 25360 2888503 60
  NZ_CP027583.1 14599 2110403 60
  NZ_CP027583.1 57825 2091483 60
  NZ_CP027583.1 76075 2053579 58
  NZ_CP027583.1 75815 5235239 57
  NZ_CP027583.1 75815 2888282 57
  NZ_CP027583.1 72401 2889009 55
  NZ_CP027583.1 72401 2054045 55
  NZ_CP027583.1 25119 5235219 54
  NZ_CP027583.1 25119 2888262 54
  NZ_CP027583.1 5557 4919732 53
  NZ_CP027583.1 5557 1388922 53
  NZ_CP027583.1 25623 5235723 51
  NZ_CP027583.1 72286 2888894 51
  NZ_CP027583.1 25751 2888894 51
  NZ_CP027583.1 37661 1305481 50
  NZ_CP027583.1 37661 996804 50
  NZ_CP027583.1 76419 2888894 48
  NZ_CP027583.1 25627 2888770 47
  NZ_CP027583.1 37999 2054533 47
  NZ_CP027583.1 37999 2043614 47
  NZ_CP027583.1 37999 2889497 46
  NZ_CP027583.1 72783 3662117 45
  NZ_CP027583.1 38002 5236457 44
