> NZ_CP027472.1
  NZ_CP027583.1 17295 2111271 822
  NZ_CP027583.1 16481 2110457 779
  NZ_CP027583.1 16504 3658320 756
  NZ_CP027583.1 17626 3659442 575
  NZ_CP027583.1 18148 2112118 436
  NZ_CP027583.1 3564 2098411 294
  NZ_CP027583.1 6033 1332877 274
  NZ_CP027583.1 69550 596901 259
  NZ_CP027583.1 11300 2098410 236
  NZ_CP027583.1 25359 5235459 235
  NZ_CP027583.1 25359 2888502 235
  NZ_CP027583.1 61595 3830894 231
  NZ_CP027583.1 11092 594881 206
  NZ_CP027583.1 25390 2053569 204
  NZ_CP027583.1 59792 3673898 195
  NZ_CP027583.1 60972 3830161 164
  NZ_CP027583.1 5159 4919333 157
  NZ_CP027583.1 60756 3829945 157
  NZ_CP027583.1 5159 1388523 157
  NZ_CP027583.1 56961 5607922 156
  NZ_CP027583.1 56961 752678 156
  NZ_CP027583.1 18382 3660045 152
  NZ_CP027583.1 76387 5235819 147
  NZ_CP027583.1 72254 5235819 147
  NZ_CP027583.1 75987 5235412 144
  NZ_CP027583.1 75987 2888455 144
  NZ_CP027583.1 59221 3673327 140
  NZ_CP027583.1 17431 3659247 128
  NZ_CP027583.1 72360 2054004 124
  NZ_CP027583.1 61214 3830509 122
  NZ_CP027583.1 57745 2091403 122
  NZ_CP027583.1 72717 5236282 115
  NZ_CP027583.1 59611 3673717 115
  NZ_CP027583.1 72717 2889325 115
  NZ_CP027583.1 17295 3659111 111
  NZ_CP027583.1 66859 2076438 111
  NZ_CP027583.1 58225 2091896 104
  NZ_CP027583.1 71894 5235459 97
  NZ_CP027583.1 71894 2888502 97
  NZ_CP027583.1 4806 4918980 93
  NZ_CP027583.1 4806 1388170 93
  NZ_CP027583.1 62026 3831325 92
  NZ_CP027583.1 72042 5235607 87
  NZ_CP027583.1 72042 2888650 87
  NZ_CP027583.1 72042 2053686 87
  NZ_CP027583.1 72131 5235696 86
  NZ_CP027583.1 72131 2888739 86
  NZ_CP027583.1 58928 3673037 85
  NZ_CP027583.1 72683 2054327 82
  NZ_CP027583.1 25719 5235819 79
  NZ_CP027583.1 76387 2888862 79
  NZ_CP027583.1 72254 2888862 79
  NZ_CP027583.1 25719 2888862 79
  NZ_CP027583.1 4184 2420312 78
  NZ_CP027583.1 75795 5235219 73
  NZ_CP027583.1 75795 2888262 73
  NZ_CP027583.1 16855 3724072 70
  NZ_CP027583.1 16855 464544 70
  NZ_CP027583.1 61492 3830787 69
  NZ_CP027583.1 71925 2053569 66
  NZ_CP027583.1 61346 3830641 65
  NZ_CP027583.1 59509 3673615 64
  NZ_CP027583.1 18753 3083870 64
  NZ_CP027583.1 57431 2091089 63
  NZ_CP027583.1 18650 3083767 61
  NZ_CP027583.1 72845 2889453 58
  NZ_CP027583.1 37955 2889453 58
  NZ_CP027583.1 72845 2054489 58
  NZ_CP027583.1 37955 2054489 58
  NZ_CP027583.1 72845 2043570 58
  NZ_CP027583.1 37955 2043570 58
  NZ_CP027583.1 76074 2053578 57
  NZ_CP027583.1 11092 3828365 55
  NZ_CP027583.1 72848 3662182 55
  NZ_CP027583.1 37958 3662182 55
  NZ_CP027583.1 76176 5235607 54
  NZ_CP027583.1 11244 3828517 54
  NZ_CP027583.1 76176 2888650 54
  NZ_CP027583.1 76176 2053686 54
