> NZ_CP027472.1
  NZ_CP027583.1 16481 2110457 2121
  NZ_CP027583.1 16481 3658297 1738
  NZ_CP027583.1 71785 5235350 1134
  NZ_CP027583.1 71785 2888393 1134
  NZ_CP027583.1 61167 3830462 803
  NZ_CP027583.1 59482 3673588 636
  NZ_CP027583.1 25250 5235350 529
  NZ_CP027583.1 25250 2888393 520
  NZ_CP027583.1 4613 4918787 481
  NZ_CP027583.1 4613 1387977 481
  NZ_CP027583.1 60756 3829945 397
  NZ_CP027583.1 72542 2054186 377
  NZ_CP027583.1 57696 2091354 352
  NZ_CP027583.1 3564 2098411 307
  NZ_CP027583.1 71925 2053569 307
  NZ_CP027583.1 25390 2053569 307
  NZ_CP027583.1 17406 3724622 301
  NZ_CP027583.1 17406 465094 301
  NZ_CP027583.1 75926 5235350 300
  NZ_CP027583.1 75926 2888393 300
  NZ_CP027583.1 6033 1332877 271
  NZ_CP027583.1 69550 596901 267
  NZ_CP027583.1 11300 2098410 266
  NZ_CP027583.1 4333 4918507 246
  NZ_CP027583.1 4333 1387697 246
  NZ_CP027583.1 60292 2043092 240
  NZ_CP027583.1 58232 2091903 231
  NZ_CP027583.1 72691 2043416 228
  NZ_CP027583.1 18382 3660045 220
  NZ_CP027583.1 57035 5607997 219
  NZ_CP027583.1 59192 3673299 209
  NZ_CP027583.1 5159 4919333 206
  NZ_CP027583.1 5159 1388523 206
  NZ_CP027583.1 11092 3828365 193
  NZ_CP027583.1 11092 594881 193
  NZ_CP027583.1 72293 2053937 181
  NZ_CP027583.1 18650 3083767 169
  NZ_CP027583.1 66845 2076424 165
  NZ_CP027583.1 5443 4919617 156
  NZ_CP027583.1 5443 1388807 156
  NZ_CP027583.1 76387 5235819 153
  NZ_CP027583.1 76075 2053579 151
  NZ_CP027583.1 62026 3831325 145
  NZ_CP027583.1 4170 2420298 129
  NZ_CP027583.1 57354 2091012 121
  NZ_CP027583.1 37752 1305571 120
  NZ_CP027583.1 37752 996894 120
  NZ_CP027583.1 72783 3662117 117
  NZ_CP027583.1 57035 752753 117
  NZ_CP027583.1 66141 3660157 111
  NZ_CP027583.1 66141 2112464 108
  NZ_CP027583.1 57593 2091251 99
  NZ_CP027583.1 20005 4399427 97
  NZ_CP027583.1 16833 3724050 97
  NZ_CP027583.1 16833 464522 97
  NZ_CP027583.1 59010 3673119 92
  NZ_CP027583.1 66165 3660181 84
  NZ_CP027583.1 37955 2889453 74
  NZ_CP027583.1 37955 2054489 74
  NZ_CP027583.1 37955 2043570 74
  NZ_CP027583.1 37956 5236411 73
  NZ_CP027583.1 58926 3673035 68
  NZ_CP027583.1 62387 5608461 61
  NZ_CP027583.1 62387 753217 61
  NZ_CP027583.1 75796 5235220 58
  NZ_CP027583.1 75796 2888263 58
  NZ_CP027583.1 67005 3828531 56
  NZ_CP027583.1 76174 5235605 52
  NZ_CP027583.1 76174 2888648 52
  NZ_CP027583.1 76174 2053684 52
  NZ_CP027583.1 37961 3662185 49
  NZ_CP027583.1 37961 2889459 49
  NZ_CP027583.1 76387 2888862 49
  NZ_CP027583.1 37961 2054495 49
  NZ_CP027583.1 37961 2043576 49
  NZ_CP027583.1 14598 3658242 38
  NZ_CP027583.1 14598 2110402 38
  NZ_CP027582.1 4797936 4834340 800885
  NZ_CP027582.1 3471751 3478558 560387
  NZ_CP027582.1 2975421 2982228 495045
  NZ_CP027582.1 228624 233884 450731
  NZ_CP027582.1 2586693 2592223 388709
  NZ_CP027582.1 2259363 2264884 327243
  NZ_CP027582.1 679441 684637 310473
  NZ_CP027582.1 4508619 4505740 289314
  NZ_CP027582.1 1928362 1933607 226002
  NZ_CP027582.1 1546045 1551130 162665
  NZ_CP027582.1 1712870 1717957 162578
  NZ_CP027582.1 1383906 1388989 157423
  NZ_CP027582.1 117896 123125 110616
  NZ_CP027582.1 1009163 1014373 109450
  NZ_CP027582.1 1119893 1123826 101690
  NZ_CP027582.1 1221754 1225533 92516
  NZ_CP027582.1 1 45784 77344
  NZ_CP027582.1 2172517 2177882 65762
  NZ_CP027582.1 1323464 1327256 60437
  NZ_CP027582.1 5634647 1 45678
  NZ_CP027582.1 4464550 4460391 44062
  NZ_CP027582.1 1910021 1915266 18308
  NZ_CP027582.1 1891711 1896955 18277
  NZ_CP027582.1 989832 1303717 14334
  NZ_CP027582.1 5620460 5657409 14083
  NZ_CP027582.1 1300202 995306 14068
  NZ_CP027582.1 990098 995306 14068
  NZ_CP027582.1 1697427 1882107 11283
  NZ_CP027582.1 1878784 1883957 10988
  NZ_CP027582.1 1878784 1704361 10988
  NZ_CP027582.1 2240435 1883958 9432
  NZ_CP027582.1 2240435 1704362 9432
  NZ_CP027582.1 2154370 2159748 8995
  NZ_CP027582.1 5598936 5635882 8850
  NZ_CP027582.1 2110571 2447280 8242
  NZ_CP027582.1 2441760 2115840 8242
  NZ_CP027582.1 728221 3636777 7440
  NZ_CP027582.1 3629972 733422 7440
  NZ_CP027582.1 5607857 5644803 6392
  NZ_CP027582.1 2585294 1544913 6184
  NZ_CP027582.1 2253274 2258793 6006
  NZ_CP027582.1 1314377 1318158 5850
  NZ_CP027582.1 1314377 1009483 5850
  NZ_CP027582.1 2166174 2171539 5690
  NZ_CP027582.1 4365014 4416878 5365
  NZ_CP027582.1 4070283 4133118 5355
  NZ_CP027582.1 3280223 4035720 5242
  NZ_CP027582.1 4462538 4910258 5237
  NZ_CP027582.1 4365225 4458471 5154
  NZ_CP027582.1 4028896 4133113 5154
  NZ_CP027582.1 1534323 2585325 4998
  NZ_CP027582.1 1541482 2592477 4990
  NZ_CP027582.1 1004273 1318158 4793
  NZ_CP027582.1 1004273 1009483 4793
  NZ_CP027582.1 2579795 1539407 4760
  NZ_CP027582.1 1885205 2252211 4567
  NZ_CP027582.1 1541482 1546566 4531
  NZ_CP027582.1 1550223 2882918 4424
  NZ_CP027582.1 2877390 1555307 4424
  NZ_CP027582.1 2171219 2257495 4100
  NZ_CP027582.1 2251976 2176584 4100
  NZ_CP027582.1 1890413 2176584 4100
  NZ_CP027582.1 2171219 1895657 4100
  NZ_CP027582.1 4163085 4585376 3673
  NZ_CP027582.1 2696019 4689747 3657
  NZ_CP027582.1 4692624 2701552 3645
  NZ_CP027582.1 1537534 2243696 3607
  NZ_CP027582.1 5659766 4460244 3423
  NZ_CP027582.1 2238220 1542508 3417
  NZ_CP027582.1 4366998 25121 3381
  NZ_CP027582.1 5659766 4418862 3372
  NZ_CP027582.1 2238330 2243696 3307
  NZ_CP027582.1 4464550 25268 3276
  NZ_CP027582.1 2259186 2184636 3275
  NZ_CP027582.1 4028899 3287027 3239
  NZ_CP027582.1 3280223 4133116 3238
  NZ_CP027582.1 4070283 4035722 3236
  NZ_CP027582.1 4070283 3287029 3236
  NZ_CP027582.1 4875864 4460391 3235
  NZ_CP027582.1 4875864 4419009 3235
  NZ_CP027582.1 4875864 25268 3235
  NZ_CP027582.1 4367145 4912270 3234
  NZ_CP027582.1 5659913 4912270 3225
  NZ_CP027582.1 4464550 4419009 3225
  NZ_CP027582.1 2179447 2264884 3098
  NZ_CP027582.1 1891711 2258793 3094
  NZ_CP027582.1 2253274 1896955 3094
  NZ_CP027582.1 2246855 2252211 3012
  NZ_CP027582.1 1705698 2252211 3012
  NZ_CP027582.1 2160500 2246626 2865
  NZ_CP027582.1 1877138 2244154 2849
  NZ_CP027582.1 1877138 1543076 2849
  NZ_CP027582.1 2246855 2171463 2704
  NZ_CP027582.1 1885205 2171463 2704
  NZ_CP027582.1 1705698 2171463 2704
  NZ_CP027582.1 280729 2237294 2697
  NZ_CP027582.1 2231928 285990 2697
  NZ_CP027582.1 4247241 3683103 2696
  NZ_CP027582.1 2231929 3683103 2696
  NZ_CP027582.1 280730 3683103 2696
  NZ_CP027582.1 4247241 2237295 2696
  NZ_CP027582.1 3676287 2237295 2696
  NZ_CP027582.1 4247241 285991 2696
  NZ_CP027582.1 3676287 285991 2696
  NZ_CP027582.1 1688124 5374468 2688
  NZ_CP027582.1 5338062 1693209 2688
  NZ_CP027582.1 3645946 5374469 2687
  NZ_CP027582.1 2874686 5374469 2687
  NZ_CP027582.1 2573454 5374469 2687
  NZ_CP027582.1 5338063 3652751 2687
  NZ_CP027582.1 2874686 3652751 2687
  NZ_CP027582.1 2573454 3652751 2687
  NZ_CP027582.1 1688125 3652751 2687
  NZ_CP027582.1 5338063 2880214 2687
  NZ_CP027582.1 3645946 2880214 2687
  NZ_CP027582.1 2573454 2880214 2687
  NZ_CP027582.1 1688125 2880214 2687
  NZ_CP027582.1 5338063 2578984 2687
  NZ_CP027582.1 3645946 2578984 2687
  NZ_CP027582.1 2874686 2578984 2687
  NZ_CP027582.1 1688125 2578984 2687
  NZ_CP027582.1 3645946 1693210 2687
  NZ_CP027582.1 2874686 1693210 2687
  NZ_CP027582.1 2573454 1693210 2687
  NZ_CP027582.1 2249938 2255457 2683
  NZ_CP027582.1 1708781 2255457 2683
  NZ_CP027582.1 2249938 1893618 2683
  NZ_CP027582.1 1708781 1893618 2683
  NZ_CP027582.1 3630987 2400795 2677
  NZ_CP027582.1 729236 2400795 2677
  NZ_CP027582.1 2395275 3637792 2675
  NZ_CP027582.1 2395275 734436 2675
  NZ_CP027582.1 2166174 2252287 2628
  NZ_CP027582.1 2166174 1890449 2628
  NZ_CP027582.1 2166174 1710858 2628
  NZ_CP027582.1 3639440 742846 2568
  NZ_CP027582.1 737646 3646245 2566
  NZ_CP027582.1 2237215 1880641 2470
  NZ_CP027582.1 1533831 2239997 2469
  NZ_CP027582.1 2234631 1538915 2468
  NZ_CP027582.1 1693992 2597475 2441
  NZ_CP027582.1 2591945 1699077 2441
  NZ_CP027582.1 458565 3723366 2440
  NZ_CP027582.1 2591946 3648826 2440
  NZ_CP027582.1 1693993 3648826 2440
  NZ_CP027582.1 3642021 2597476 2440
  NZ_CP027582.1 3642021 1699078 2440
  NZ_CP027582.1 3716550 463838 2440
  NZ_CP027582.1 1710819 2176584 2374
  NZ_CP027582.1 2697494 4325969 2280
  NZ_CP027582.1 2153654 2584610 2279
  NZ_CP027582.1 5617851 5654800 2237
  NZ_CP027582.1 1320335 5654800 2237
  NZ_CP027582.1 2173701 1718388 2234
  NZ_CP027582.1 1533693 2159118 2194
  NZ_CP027582.1 1558654 1903460 2188
  NZ_CP027582.1 1898214 1563740 2188
  NZ_CP027582.1 4694099 4325969 2170
  NZ_CP027582.1 1713422 2179188 2113
  NZ_CP027582.1 1323891 5658353 2098
  NZ_CP027582.1 2234649 2159274 2085
  NZ_CP027582.1 3651176 2110141 2054
  NZ_CP027582.1 2104872 3657981 2047
  NZ_CP027582.1 1876471 2162749 1996
  NZ_CP027582.1 270793 2405213 1987
  NZ_CP027582.1 2399693 276054 1987
  NZ_CP027582.1 2579795 2240489 1977
  NZ_CP027582.1 2235123 2585325 1976
  NZ_CP027582.1 1548185 2878173 1967
  NZ_CP027582.1 2872645 1553270 1967
  NZ_CP027582.1 1917690 2285678 1965
  NZ_CP027582.1 2280157 1922935 1965
  NZ_CP027582.1 2196630 2903222 1953
  NZ_CP027582.1 2897694 2201995 1953
  NZ_CP027582.1 1908351 1931937 1947
  NZ_CP027582.1 1926692 1913596 1947
  NZ_CP027582.1 4462325 4416878 1942
  NZ_CP027582.1 1013728 1327698 1941
  NZ_CP027582.1 1323906 1018938 1940
  NZ_CP027582.1 4073714 4039237 1924
  NZ_CP027582.1 4462355 23079 1912
  NZ_CP027582.1 5657725 4416909 1911
  NZ_CP027582.1 4365044 23079 1910
  NZ_CP027582.1 4873696 4458315 1885
  NZ_CP027582.1 4032333 3290552 1875
  NZ_CP027582.1 461727 1019450 1839
  NZ_CP027582.1 1014240 467000 1839
  NZ_CP027582.1 1558613 2606770 1780
  NZ_CP027582.1 2601240 1563699 1779
  NZ_CP027582.1 1872621 1538586 1756
  NZ_CP027582.1 1533502 1877698 1754
  NZ_CP027582.1 2251828 1715758 1750
  NZ_CP027582.1 1890265 1715758 1750
  NZ_CP027582.1 1710671 1715758 1750
  NZ_CP027582.1 1010402 5654961 1748
  NZ_CP027582.1 5618012 1015612 1748
  NZ_CP027582.1 1320496 1015612 1748
  NZ_CP027582.1 1898214 2606811 1739
  NZ_CP027582.1 2601281 1903460 1738
