w_min,w_max,type,x,m,y,mean_error_y_est,analysis,ymetric
16,100,Optimal,1,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,2,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,3,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,4,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,5,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,6,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,7,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,8,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,9,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,10,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,11,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,12,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,13,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,14,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,15,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,16,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,17,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,18,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,19,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,20,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,21,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,22,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,23,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,24,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,25,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,26,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,27,-,95.22640841864288,-,altstrobes-analysis,Entropy
16,100,Optimal,28,-,95.22640841864288,-,altstrobes-analysis,Entropy
